,s_dur,n_shots,ava_shot_dur,rel_id_loc,rel_t_loc,ava_char_score,is_prot_appear
1,66.52433333333335,22,3.023833333333334,0.008928571428571428,0.02303330256733101,350.26885909239587,0
2,34.960333333333324,8,4.3700416666666655,0.017857142857142856,0.03289828190550036,187.91489230295747,0
3,77.70233333333329,10,7.770233333333328,0.026785714285714284,0.0380855247441057,291.5394862794841,0
5,57.38233333333335,25,2.295293333333334,0.044642857142857144,0.05350868769069438,253.3946805137806,0
6,49.591333333333296,15,3.3060888888888864,0.05357142857142857,0.06201883661830062,192.47012729468818,0
7,51.09233333333333,5,10.218466666666666,0.0625,0.06937437126799204,569.0463416329711,0
8,17.7263333333334,2,8.8631666666667,0.07142857142857142,0.07695235182079603,288.2864746756537,0
9,47.38933333333341,4,11.847333333333353,0.08035714285714286,0.07958554223152514,428.6664081543124,0
10,16.040333333333365,10,1.6040333333333365,0.08928571428571429,0.0866147438508009,428.6664081543124,0
11,25.667333333333318,12,2.138944444444443,0.09821428571428571,0.08899807164151147,569.0463416329711,0
12,54.31333333333339,11,4.937575757575763,0.10714285714285714,0.09280810610061965,313.8831071905647,0
13,35.193333333333385,7,5.027619047619055,0.11607142857142858,0.10086343392452667,309.6341802439837,0
14,14.055333333333351,2,7.027666666666676,0.125,0.10608520700658654,351.1165053339398,0
15,109.26733333333345,19,5.750912280701761,0.13392857142857142,0.10817436083481977,263.1739457908295,0
16,23.73233333333326,7,3.3903333333333228,0.14285714285714285,0.12437378736602119,351.1165053339398,0
17,60.86933333333343,22,2.7667878787878832,0.15178571428571427,0.12789705778614013,203.31987485041864,0
18,52.59433333333334,13,4.045717948717949,0.16071428571428573,0.13692397477780605,275.2297893548528,1
19,68.6433333333332,25,2.745733333333328,0.16964285714285715,0.14472454943219237,617.4617380285008,1
20,68.06033333333335,19,3.5821228070175444,0.17857142857142858,0.15490356132778715,617.4617380285008,1
21,71.39633333333336,19,3.757701754385966,0.1875,0.16499617351551077,651.2285270192698,1
22,34.375333333333174,19,1.8092280701754302,0.19642857142857142,0.17558317579836,617.4617380285008,1
23,69.74533333333329,28,2.4909047619047606,0.20535714285714285,0.18068372253215464,617.4617380285008,1
24,66.64133333333325,21,3.1733968253968214,0.21428571428571427,0.191026049141427,617.4617380285008,1
25,41.63333333333321,14,2.973809523809515,0.22321428571428573,0.20090836770055848,284.17327945092865,0
26,111.56933333333336,29,3.8472183908045987,0.23214285714285715,0.20708453892788486,617.4752079934523,0
28,83.25833333333321,20,4.162916666666661,0.25,0.22751191960292297,331.1317776476734,0
29,112.9043333333334,24,4.704347222222225,0.25892857142857145,0.2398568521340876,331.1317776476734,0
30,72.44733333333329,23,3.1498840579710126,0.26785714285714285,0.256595276499813,331.1317776476734,0
32,69.94533333333334,18,3.885851851851852,0.2857142857142857,0.2723075746609071,442.7852657210521,0
33,84.24233333333314,23,3.6627101449275274,0.29464285714285715,0.28267954096413184,442.7852657210521,0
34,112.28733333333366,29,3.8719770114942644,0.30357142857142855,0.29517030078954215,276.8403993849475,0
35,13.271333333333132,3,4.423777777777711,0.3125,0.3118172866994245,442.7852657210521,0
36,93.2513333333336,26,3.5865897435897542,0.32142857142857145,0.31379025292736434,421.89199208122795,0
37,83.45933333333369,18,4.636629629629649,0.33035714285714285,0.3276161327668595,387.6428066592219,0
38,6.831333333333532,3,2.2771111111111773,0.3392857142857143,0.3399908531904463,354.64467606455645,0
39,25.767333333333227,3,8.589111111111075,0.3482142857142857,0.34100942127311973,354.64467606455645,0
40,65.59033333333355,17,3.858254901960797,0.35714285714285715,0.3448342755792041,452.6760726967318,0
41,96.50533333333351,1,96.50533333333351,0.36607142857142855,0.3545608375466158,379.0216935610856,1
43,40.61533333333318,4,10.153833333333296,0.38392857142857145,0.37011752731446,436.16834017105776,0
44,25.784333333333507,2,12.892166666666753,0.39285714285714285,0.37614283249956876,390.56875767866603,0
45,39.49833333333345,2,19.749166666666724,0.4017857142857143,0.37997020617963906,569.0463416329711,0
46,33.825333333333674,9,3.7583703703704083,0.4107142857142857,0.38582997367402383,214.95527422771724,0
47,54.345333333333656,8,6.793166666666707,0.41964285714285715,0.3908490112494495,569.0463416329711,0
48,95.55433333333349,8,11.944291666666686,0.42857142857142855,0.3989090814243889,325.69093231271495,0
49,68.61033333333307,15,4.574022222222205,0.4375,0.41307626233974565,428.9807809365219,1
50,95.45333333333383,19,5.023859649122834,0.44642857142857145,0.4232503836858382,337.3884296369517,1
51,83.75933333333342,15,5.583955555555561,0.45535714285714285,0.43740259655574903,284.17327945092865,0
52,118.24233333333359,16,7.390145833333349,0.4642857142857143,0.4498217765202644,380.4975755046349,0
54,22.647333333333336,3,7.549111111111112,0.48214285714285715,0.4705234725628317,452.6760726967318,0
55,109.81833333333361,20,5.49091666666668,0.49107142857142855,0.47388594764325903,617.4752079934523,0
56,81.77333333333354,14,5.8409523809523956,0.5,0.49016703153129926,274.48003969339004,0
57,30.038333333333412,5,6.007666666666682,0.5089285714285714,0.5022918893348675,384.4161293211713,0
58,68.41033333333371,21,3.2576349206349384,0.5178571428571429,0.5067496993053049,617.4482680635492,1
60,25.434333333333598,4,6.358583333333399,0.5357142857142857,0.5196632693649459,452.6760726967318,0
63,45.00333333333356,12,3.7502777777777965,0.5625,0.5352026199118278,407.325599265227,1
64,61.88733333333312,19,3.2572280701754273,0.5714285714285714,0.5418782199822518,476.72093051142025,1
65,60.81833333333361,20,3.0409166666666807,0.5803571428571429,0.5510560030161352,667.1233790373559,1
66,80.1553333333336,17,4.715019607843153,0.5892857142857143,0.5600753618858433,667.1233790373559,1
67,59.31833333333361,31,1.913494623655923,0.5982142857142857,0.5719604345653369,476.72093051142025,1
68,58.44933333333347,10,5.844933333333347,0.6071428571428571,0.5807574957304021,667.1233790373559,1
69,71.96433333333334,10,7.196433333333334,0.6160714285714286,0.5894257724252443,354.89481223834906,0
70,142.76733333333277,19,7.514070175438567,0.625,0.6000969514389183,354.89481223834906,0
71,95.05333333333328,16,5.94083333333333,0.6339285714285714,0.6212610267071427,388.6735072814697,0
72,48.256333333332805,9,5.361814814814756,0.6428571428571429,0.6353539601891487,390.56875767866603,0
73,31.490333333333183,11,2.8627575757575623,0.6517857142857143,0.642511649881708,281.9555826748261,0
74,28.269333333332725,6,4.711555555555454,0.6607142857142857,0.6471846440302397,436.16834017105776,0
75,78.17033333333347,43,1.8179147286821737,0.6696428571428571,0.6513802909076681,585.8438354163467,0
76,43.63533333333271,26,1.6782820512820273,0.6785714285714286,0.6629711896246845,588.7141705237449,0
77,38.58033333333333,11,3.5073030303030297,0.6875,0.6694440541884741,478.8471627698898,0
78,160.70233333333272,51,3.151026143790838,0.6964285714285714,0.6751677754876174,488.1757148414657,0
79,59.967333333333045,8,7.495916666666631,0.7053571428571429,0.6989897903110212,588.7141705237449,0
80,45.587333333332936,9,5.065259259259215,0.7142857142857143,0.7078830322829619,624.9905702575205,0
82,84.20933333333323,36,2.3391481481481455,0.7321428571428571,0.7177555697430891,315.8856763637266,0
83,71.11233333333257,20,3.5556166666666287,0.7410714285714286,0.7302414390189973,315.8856763637266,0
84,37.02933333333294,9,4.114370370370327,0.75,0.7407863529364341,380.4975755046349,0
85,71.32933333333312,1,71.32933333333312,0.7589285714285714,0.7462802184089767,294.61736667648137,0
88,102.31033333333289,23,4.448275362318822,0.7857142857142857,0.7702455411526403,511.8558683950962,0
89,77.51933333333363,34,2.2799803921568715,0.7946428571428571,0.7854139509297082,511.8558683950962,0
90,90.21533333333264,9,10.023925925925848,0.8035714285714286,0.7969083724429096,511.8558683950962,0
91,28.754333333333307,6,4.792388888888884,0.8125,0.8102843217282076,554.9818169715315,0
92,40.08133333333262,8,5.010166666666578,0.8214285714285714,0.8145518448634708,630.5423175319432,0
93,17.926333333332877,3,5.9754444444442925,0.8303571428571429,0.8204980120657266,0.0,0
94,14.022333333333336,3,4.674111111111112,0.8392857142857143,0.8231608421704081,105.0167063189699,0
95,49.6243333333332,12,4.1353611111110995,0.8482142857142857,0.8252451054491392,152.80724086898132,0
96,51.009333333332506,12,4.250777777777709,0.8571428571428571,0.8326055306483328,347.6736203009628,0
97,37.36233333333348,7,5.337476190476211,0.8660714285714286,0.8401712107281465,380.82966247979067,0
99,105.48033333333296,15,7.0320222222221975,0.8839285714285714,0.8464635695557663,380.4975755046349,0
100,132.4413333333332,24,5.518388888888883,0.8928571428571429,0.8621017684819794,384.4161293211713,0
101,59.100333333332856,13,4.54617948717945,0.9017857142857143,0.8817355463514427,317.8218720677173,0
103,43.96933333333345,2,21.984666666666726,0.9196428571428571,0.8921247036771597,214.95527422771724,0
104,31.85633333333317,2,15.928166666666584,0.9285714285714286,0.8986470665298499,516.1613710561933,0
105,21.146333333333132,1,21.146333333333132,0.9375,0.9033743013183144,379.0216935610856,1
107,14.556333333332987,2,7.278166666666493,0.9553571428571429,0.9085911838508721,275.7914550946162,0
108,117.30933333333269,26,4.511897435897411,0.9642857142857143,0.9107545851124561,617.4752079934523,0
109,35.34333333333325,5,7.068666666666649,0.9732142857142857,0.9281458237374824,554.9818169715315,0
110,122.33033333333242,19,6.43843859649118,0.9821428571428571,0.9333898265900067,630.5423175319432,0
111,327.0523333333331,2,163.52616666666654,0.9910714285714286,0.9515251697317074,139.2263968021388,0
