name,lead_char,quat1_key_char,quat2_key_char,quat3_key_char,quat4_key_char,act2_key_char
Signs,4,4,4,4,4,4
One Flew Over the Cuckoo's Nest,1,2,9,1,2,2
The Ugly Truth,2,5,3,2,2,3
Marley & Me,3,2,3,3,4,3
Match Point,3,3,3,3,1,3
Bad Santa,2,2,2,3,2,1
The Lincoln Lawyer,1,1,1,1,1,1
Gone Girl,2,3,1,2,2,2
Harry Potter and the Sorcerer's Stone,3,5,3,3,3,3
Crash,0,0,0,0,0,0
Up in the Air,2,1,2,3,2,3
Slumdog Millionaire,3,3,5,3,3,3
The Adjustment Bureau,2,1,4,3,2,3
27 Dresses,3,1,3,2,3,3
The Social Network,2,1,2,3,3,2
Ocean's Eleven,2,2,1,1,2,1
10 Things I Hate About You,2,2,2,5,3,3
The Day the Earth Stood Still,3,1,4,3,3,2
Her,2,1,2,2,2,2
Indiana Jones and the Last Crusade,2,1,2,2,2,2
Friends with Benefits,2,2,2,3,2,2
Pretty Woman,2,2,2,2,2,2
Flight,1,3,1,1,2,1
The Godfather,1,0,1,1,1,1
The Girl with the Dragon Tattoo,2,1,2,2,2,2
Pulp Fiction,1,2,2,2,4,3
The Lost Weekend,2,3,2,1,2,1
Brokeback Mountain,2,2,2,3,2,2
Meet the Parents,3,4,3,3,2,3
Silver Linings Playbook*,2,3,2,2,3,2
"Crazy, Stupid, Love",3,1,2,2,7,2
Four Weddings and a Funeral,1,1,1,2,3,1
The Firm,1,2,1,2,1,1
Jerry Maguire *,2,1,1,2,3,2
Sleepless in Seattle,3,3,1,4,3,3
Knocked Up,2,3,2,4,2,2
Forrest Gump,1,1,2,1,2,1
The Help,2,2,1,1,0,1
Australia,2,2,3,2,3,2
The Big Lebowski,2,2,2,2,2,2
Horrible Bosses,3,2,3,4,4,3
Dallas Buyers Club,1,1,2,1,1,1
Juno,1,1,4,1,1,3
As Good as It Gets,3,2,3,3,3,3
Chasing Amy,3,4,3,3,3,3